AXIS X
  0.125000   0.250000   0.375000   0.500000   0.625000   0.750000   0.875000   1.000000   1.125000   1.250000   1.375000   1.500000   1.625000   1.750000   1.875000   2.000000   2.125000   2.250000   2.375000   2.500000   2.625000   2.750000   2.875000   3.000000   3.125000   3.250000   3.375000   3.500000   3.625000   3.750000   3.875000   4.000000   4.125000   4.250000   4.375000   4.500000   4.625000   4.750000   4.875000   5.000000   5.125000   5.250000   5.375000   5.500000   5.625000   5.750000   5.875000   6.000000   6.125000   6.250000   6.375000   6.500000   6.625000   6.750000   6.875000   7.000000   7.125000   7.250000   7.375000   7.500000   7.625000   7.750000   7.875000   8.000000   8.125000   8.250000   8.375000   8.500000   8.625000   8.750000   8.875000   9.000000   9.125000   9.250000   9.375000   9.500000   9.625000   9.750000   9.875000  10.000000 

AXIS Y
  0.125000   0.250000   0.375000   0.500000   0.625000   0.750000   0.875000   1.000000   1.125000   1.250000   1.375000   1.500000   1.625000   1.750000   1.875000   2.000000   2.125000   2.250000   2.375000   2.500000   2.625000   2.750000   2.875000   3.000000   3.125000   3.250000   3.375000   3.500000   3.625000   3.750000   3.875000   4.000000   4.125000   4.250000   4.375000   4.500000   4.625000   4.750000   4.875000   5.000000   5.125000   5.250000   5.375000   5.500000   5.625000   5.750000   5.875000   6.000000   6.125000   6.250000   6.375000   6.500000   6.625000   6.750000   6.875000   7.000000   7.125000   7.250000   7.375000   7.500000   7.625000   7.750000   7.875000   8.000000   8.125000   8.250000   8.375000   8.500000   8.625000   8.750000   8.875000   9.000000   9.125000   9.250000   9.375000   9.500000   9.625000   9.750000   9.875000  10.000000 

DATA
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.559375   0.437500   0.031250  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.518750   0.112500  -0.009375  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.071875   0.478125   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.043750   0.450000   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.050000   0.015625   0.196875   0.515625   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.050000  -0.037500  -0.000000   0.153125   0.234375   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.037500  -0.012500   0.112500   0.137500   0.178125   0.206250   0.262500   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.478125   0.071875  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.050000  -0.025000   0.100000   0.137500   0.150000   0.150000   0.150000   0.178125   0.206250   0.262500   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.581250   0.481250   0.075000  -0.028125  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.037500  -0.000000   0.125000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.178125   0.206250   0.262500   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.581250   0.562500   0.525000   0.334375   0.253125   0.015625  -0.028125  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
 -0.000000   0.112500   0.137500   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.178125   0.206250   0.262500   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.581250   0.562500   0.525000   0.375000   0.337500   0.318750   0.278125   0.234375   0.037500  -0.006250  -0.028125  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000 
  0.125000   0.137500   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.150000   0.178125   0.206250   0.262500   0.487500   0.543750   0.571875   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.600000   0.581250   0.562500   0.525000   0.375000   0.337500   0.318750   0.300000   0.300000   0.300000   0.278125   0.256250   0.212500   0.015625  -0.028125  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.050000  -0.037500  -0.025000 
